genus	queries	wrong_genus_calls	rate
Bacillus	198	45	0.2273
Mycolicibacterium	207	33	0.1594
Clostridium	207	32	0.1546
Pseudomonas	565	28	0.0496
Mycoplasma	51	22	0.4314
Mycoplasmopsis	61	18	0.2951
Rhizobium	82	18	0.2195
Mycobacterium	209	18	0.0861
Paenibacillus	379	17	0.0449
Ruminococcus	16	15	0.9375
Mediterraneibacter	19	15	0.7895
Prevotella	69	15	0.2174
Vagococcus	46	14	0.3043
Brucella	67	14	0.2090
Sphingomonas	220	14	0.0636
Halomonas	95	13	0.1368
Arthrobacter	116	13	0.1121
Ectopseudomonas	19	12	0.6316
Lysobacter	29	11	0.3793
Aliarcobacter	31	11	0.3548
Peptoniphilus	33	11	0.3333
Lachnoclostridium	10	10	1.0000
Kingella	14	10	0.7143
Pseudoclavibacter	14	10	0.7143
Eubacterium	18	10	0.5556
Metamycoplasma	26	10	0.3846
Peribacillus	29	10	0.3448
Facklamia	9	9	1.0000
Slackia	11	9	0.8182
Shimia	14	9	0.6429
Segatella	24	9	0.3750
Stutzerimonas	28	9	0.3214
Virgibacillus	47	9	0.1915
Roseovarius	48	9	0.1875
Legionella	144	9	0.0625
Fluoribacter	8	8	1.0000
Mameliella	9	8	0.8889
Faucicola	10	8	0.8000
Escherichia	17	8	0.4706
Halopseudomonas	22	8	0.3636
Fructilactobacillus	23	8	0.3478
Planococcus	41	8	0.1951
Blautia	47	8	0.1702
Vreelandella	58	8	0.1379
Neisseria	66	8	0.1212
Chryseobacterium	155	8	0.0516
Teredinibacter	7	7	1.0000
Macrococcoides	8	7	0.8750
Granulicatella	9	7	0.7778
Bombilactobacillus	9	7	0.7778
Peptostreptococcus	10	7	0.7000
Hallella	10	7	0.7000
Actinotalea	10	7	0.7000
Schaalia	18	7	0.3889
Arcobacter	26	7	0.2692
Erythrobacter	26	7	0.2692
Aerococcus	27	7	0.2593
Pseudoduganella	28	7	0.2500
Roseomonas	30	7	0.2333
Phocaeicola	31	7	0.2258
Bacteroides	126	7	0.0556
Corynebacterium	303	7	0.0231
Streptomyces	1125	7	0.0062
Caldanaerobacter	6	6	1.0000
Pseudobacillus	6	6	1.0000
Hydrogenibacillus	6	6	1.0000
Phaeovulum	6	6	1.0000
Hoeflea	6	6	1.0000
Parerythrobacter	6	6	1.0000
Telluria	6	6	1.0000
Salinirubellus	6	6	1.0000
Hafnia	7	6	0.8571
Xylanibacter	8	6	0.7500
Streptantibioticus	8	6	0.7500
Granulicella	10	6	0.6000
Olsenella	11	6	0.5455
Mesobacillus	12	6	0.5000
Microlunatus	19	6	0.3158
Hoylesella	21	6	0.2857
Priestia	21	6	0.2857
Halalkalibacter	24	6	0.2500
Roseibium	26	6	0.2308
Alteromonas	29	6	0.2069
Mycolicibacter	32	6	0.1875
Thalassotalea	32	6	0.1875
Lysinibacillus	42	6	0.1429
Winogradskyella	45	6	0.1333
Brevibacillus	46	6	0.1304
Kitasatospora	58	6	0.1034
Paraburkholderia	140	6	0.0429
Fibrobacter	5	5	1.0000
Sagittula	5	5	1.0000
Clostridioides	5	5	1.0000
Gaetbulibacter	5	5	1.0000
Agrilactobacillus	5	5	1.0000
Silvibacterium	5	5	1.0000
Thiopseudomonas	5	5	1.0000
Flavisolibacter	5	5	1.0000
Muribaculum	5	5	1.0000
Rhizobacter	5	5	1.0000
Salinibacterium	5	5	1.0000
Planomicrobium	5	5	1.0000
Eoetvoesiella	5	5	1.0000
Filimonas	5	5	1.0000
Pseudofulvimonas	5	5	1.0000
Algimonas	5	5	1.0000
Parasphingomonas	5	5	1.0000
Coprobacter	6	5	0.8333
Sutcliffiella	6	5	0.8333
Novacetimonas	7	5	0.7143
Rhizorhabdus	8	5	0.6250
Prescottella	11	5	0.4545
Nakamurella	12	5	0.4167
Paenalicyclobacillus	12	5	0.4167
Sneathiella	12	5	0.4167
Pasteurella	13	5	0.3846
Celeribacter	13	5	0.3846
Lentibacillus	18	5	0.2778
Mesoplasma	19	5	0.2632
Aurantiacibacter	20	5	0.2500
Billgrantia	21	5	0.2381
Cytobacillus	24	5	0.2083
Oceanobacillus	37	5	0.1351
Sulfitobacter	41	5	0.1220
Neobacillus	41	5	0.1220
Qipengyuania	43	5	0.1163
Dyella	52	5	0.0962
Pedobacter	108	5	0.0463
Lactobacillus	115	5	0.0435
Riemerella	5	4	0.8000
Flavonifractor	5	4	0.8000
Thermoclostridium	5	4	0.8000
Caenimonas	5	4	0.8000
Lachnospira	6	4	0.6667
Reinekea	6	4	0.6667
Paludibacterium	6	4	0.6667
Salisediminibacterium	6	4	0.6667
Sellimonas	6	4	0.6667
Poseidonibacter	6	4	0.6667
Halarcobacter	6	4	0.6667
Terriglobus	7	4	0.5714
Caldalkalibacillus	7	4	0.5714
Actibacterium	7	4	0.5714
Ochrobactrum	7	4	0.5714
Allosphingosinicella	7	4	0.5714
Natronobacterium	8	4	0.5000
Litchfieldia	8	4	0.5000
Bizionia	9	4	0.4444
Coprococcus	10	4	0.4000
Paenilisteria	10	4	0.4000
Stieleria	10	4	0.4000
Paracidovorax	11	4	0.3636
Colwellia	11	4	0.3636
Croceibacterium	11	4	0.3636
Roseobacter	12	4	0.3333
Thiomicrorhabdus	12	4	0.3333
Yoonia	12	4	0.3333
Fulvivirga	12	4	0.3333
Luteolibacter	12	4	0.3333
Croceicoccus	14	4	0.2857
Macrococcus	14	4	0.2857
Microcoleus	14	4	0.2857
Rhodoferax	15	4	0.2667
Ideonella	15	4	0.2667
Salipiger	17	4	0.2353
Arcanobacterium	17	4	0.2353
Mesomycoplasma	19	4	0.2105
Hydrogenophaga	19	4	0.2105
Haemophilus	24	4	0.1667
Comamonas	40	4	0.1000
Ligilactobacillus	44	4	0.0909
Mesorhizobium	58	4	0.0690
Listeria	58	4	0.0690
Actinomyces	61	4	0.0656
Massilia	65	4	0.0615
Sphingobium	82	4	0.0488
Cellulomonas	82	4	0.0488
Novosphingobium	85	4	0.0471
Actinomadura	91	4	0.0440
Intrasporangium	5	3	0.6000
Galbibacter	5	3	0.6000
Sedimentitalea	5	3	0.6000
Tropicimonas	5	3	0.6000
Steroidobacter	5	3	0.6000
Saccharospirillum	5	3	0.6000
Aliikangiella	5	3	0.6000
Cellvibrio	5	3	0.6000
Faecalicatena	5	3	0.6000
Loktanella	5	3	0.6000
Jatrophihabitans	5	3	0.6000
Desulfobulbus	6	3	0.5000
Rubripirellula	6	3	0.5000
Salipaludibacillus	6	3	0.5000
Butyricicoccus	6	3	0.5000
Alkalicoccus	6	3	0.5000
Phytoactinopolyspora	6	3	0.5000
Dongia	6	3	0.5000
Halosegnis	6	3	0.5000
Tateyamaria	6	3	0.5000
Hathewaya	6	3	0.5000
Thalassolituus	7	3	0.4286
Mangrovimonas	7	3	0.4286
Pararhizobium	7	3	0.4286
Evansella	8	3	0.3750
Novipirellula	8	3	0.3750
Sandarakinorhabdus	8	3	0.3750
Chitinimonas	8	3	0.3750
Altererythrobacter	8	3	0.3750
Romboutsia	8	3	0.3750
Anaerocolumna	8	3	0.3750
Alcanivorax	9	3	0.3333
