genus	queries	wrong_genus_calls	rate
Bacillus	198	39	0.1970
Mycolicibacterium	207	32	0.1546
Pseudomonas	565	28	0.0496
Clostridium	207	24	0.1159
Mycoplasmopsis	61	20	0.3279
Rhizobium	82	20	0.2439
Mycoplasma	53	19	0.3585
Mycobacterium	209	18	0.0861
Prevotella	69	16	0.2319
Mediterraneibacter	19	15	0.7895
Lysobacter	29	14	0.4828
Brucella	67	14	0.2090
Ectopseudomonas	19	13	0.6842
Halomonas	95	13	0.1368
Sphingomonas	220	13	0.0591
Lachnoclostridium	12	12	1.0000
Arthrobacter	116	12	0.1034
Kingella	14	11	0.7857
Ruminococcus	16	11	0.6875
Aliarcobacter	31	10	0.3226
Mycolicibacter	32	10	0.3125
Planococcus	41	10	0.2439
Eubacterium	19	9	0.4737
Halopseudomonas	22	9	0.4091
Peptoniphilus	33	9	0.2727
Virgibacillus	47	9	0.1915
Vreelandella	58	9	0.1552
Streptomyces	1125	9	0.0080
Fluoribacter	8	8	1.0000
Aurantiacibacter	20	8	0.4000
Hoylesella	21	8	0.3810
Stutzerimonas	28	8	0.2857
Phocaeicola	31	8	0.2581
Blautia	47	8	0.1702
Roseovarius	48	8	0.1667
Legionella	144	8	0.0556
Paenibacillus	379	8	0.0211
Macrococcoides	8	7	0.8750
Slackia	11	7	0.6364
Escherichia	16	7	0.4375
Segatella	24	7	0.2917
Metamycoplasma	26	7	0.2692
Arcobacter	26	7	0.2692
Pseudoduganella	28	7	0.2500
Alteromonas	29	7	0.2414
Peribacillus	29	7	0.2414
Neisseria	66	7	0.1061
Sphingobium	82	7	0.0854
Bacteroides	126	7	0.0556
Chryseobacterium	155	7	0.0452
Caldanaerobacter	6	6	1.0000
Pseudobacillus	6	6	1.0000
Hydrogenibacillus	6	6	1.0000
Hoeflea	6	6	1.0000
Telluria	6	6	1.0000
Hafnia	7	6	0.8571
Hallella	10	6	0.6000
Prescottella	11	6	0.5455
Shimia	14	6	0.4286
Roseburia	15	6	0.4000
Schaalia	19	6	0.3158
Erythrobacter	26	6	0.2308
Roseomonas	30	6	0.2000
Oceanobacillus	37	6	0.1622
Lysinibacillus	42	6	0.1429
Mesorhizobium	58	6	0.1034
Kitasatospora	58	6	0.1034
Massilia	65	6	0.0923
Fibrobacter	5	5	1.0000
Clostridioides	5	5	1.0000
Gaetbulibacter	5	5	1.0000
Thiopseudomonas	5	5	1.0000
Muribaculum	5	5	1.0000
Rhizobacter	5	5	1.0000
Salinibacterium	5	5	1.0000
Planomicrobium	5	5	1.0000
Eoetvoesiella	5	5	1.0000
Pseudofulvimonas	5	5	1.0000
Caenimonas	5	5	1.0000
Parasphingomonas	5	5	1.0000
Poseidonibacter	6	5	0.8333
Xylanibacter	8	5	0.6250
Rhizorhabdus	8	5	0.6250
